Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
EurHI,Belgium,Charleroi,27,2008,"0 urban background, 2 suburban background, 0 urban traffic, and 0 traffic suburban stations",89,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Belgium,Gent,25,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",99,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Belgium,Liège,26,2008,"1 urban background, 2 suburban background, 0 urban traffic, and 0 traffic suburban stations",90,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
Sear,Bhutan,Thiumphu,18,2006,1 urban background station in 1 city,NA,"Strategy for Air Quality assessment and management in Bhutan, National Environment Commission Secretariat, Bhutan, 2010",,,,,,,,,,,,,,,,,,
AmrLMI,Bolivia (Plurinational State of),Cochabamba,80,2007,"1 station, most probably residential",NA,"Monitoreo de calidad del aire - Red Monica Bolivia, http://www.redmonica.com/red_monica.php (accessed 8 Feb 2011).Otherwise, a reference for Cochabamba for 2006 here: http://www.swisscontact.bo/sw_files/myelbwfeere.pdf",,,,,,,,,,,,,,,,,,
AmrLMI,Bolivia (Plurinational State of),Santa Cruz de la Sierra,83,2007,2 low trafic stations,NA,"Monitoreo de calidad del aire - Red Monica Bolivia, http://www.redmonica.com/red_monica.php (accessed 8 Feb 2011).Otherwise, a reference for Cochabamba for 2006 here: http://www.swisscontact.bo/sw_files/myelbwfeere.pdf",,,,,,,,,,,,,,,,,,
EurLMI,Bosnia and Herzegovina,Sarajevo,117,2008,1 urban background station,88,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
Afr,Botswana,Gaborone,216,2005,"1 station, city centre",10 monthly means,"Botswana Environmental Information System, Ambient Air Quality PM10. Ministry of Environment, Wildlife and Tourism. 2011.",,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Belo Horizonte,20,2009,2 stations,NA,Monitoramento da Qualidade do Ar na Região Metropolitana de Belo Horizonte em 2009. http://www.feam.br/images/stories/arquivos/Monitoramento/relatorio_qualidade_ar_2009_23 (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Betim,22,2009,1 station,NA,Monitoramento da Qualidade do Ar na Região Metropolitana de Belo Horizonte em 2009. http://www.feam.br/images/stories/arquivos/Monitoramento/relatorio_qualidade_ar_2009_23 (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
