City,Opening date,Begin construction date,Plan year,Notes,Links,
Hangzhou,2012.11,2007.3,2005,,https://en.wikipedia.org/wiki/Hangzhou_Metro,
Brescia,2013.3,2004.1,2000,Delays due to archeological finds,https://en.wikipedia.org/wiki/Brescia_Metro,
Salvador,2014.6,2000.4,1999,,,
Hyderabad,2017.11,2012.4,2003,,,
Lucknow,2017.11,2014.9,2008,,,
Panama City,2014.11,2011.2,2009,,,
Jaipur,2015.6,2011.2,2010,,,
Chennai,2015.6,2009.6,2008,,,
Tabriz,2015.8,,2000,,,
Shiraz,2014.1,2002.6,1993,,don’t know month only year of construction start,
Isfahan,2015.1,2001.6,1996,,don’t know month only year of construction start,
Mumbai,2014.6,2008.2,2004,,,
Harbin,2013.9,2009.9,2005,,,
Kochi,2017.6,2013.6,1999,,,
Nanning,2016.6,2011.12,2008,,,
Hefei,2016.12,2009.8,2008,,,
Dongguan ,2016.5,2010.3,2007,,,
Xiamen,2017.12,2014.6,2010,,,
Changchun,2017.6,2011.4,1998,,,
Fuzhou,2016.5,2009.12,2009,,,
Guiyang,2017.12,2013.10,2008,,,
Shijiazhuang,2017.6,2013.7,2008,,,
Qingdao,2015.12,2009.11,2009,,,
Zhengzhou,2013.12,2009.6,2008,,,
Wuxi,2014.7,2009.11,2006,,,
Ningbo,2014.5,2009.6,2003,,,
Changsha,2014.4,2009.9,2008,,,
Nanchang,2015.12,2009.7,2006,,,
